session_id,psid,respID,qID,profileID,altID,obsID,choice,time_start,time_min_total,time_min_battery_cbc,next_veh_budget,vehicle_type,veh_mileage,veh_price,battery_refurbish,battery_range_year0,battery_degradation,no_choice,battery_health_year0,battery_health_year3,battery_health_year8,battery_range_year3,battery_range_year8,battery_condition
27994d272f0283653dde3fa578eba69d,zivBCxbnyx5LIlE7qYD56zaW,269,4,1305,1,1612,0,2025-10-28T13:39:29Z,9.966666666666669,1.15,30000,car,15000,33000,cellreplace,320,0.03,0,100%,91%,78%,290,250,Refurbished Cell-Replaced
27994d272f0283653dde3fa578eba69d,zivBCxbnyx5LIlE7qYD56zaW,269,4,416,2,1612,0,2025-10-28T13:39:29Z,9.966666666666669,1.15,30000,car,50000,33000,original,360,0.01,0,100%,97%,92%,350,330,Original Battery
27994d272f0283653dde3fa578eba69d,zivBCxbnyx5LIlE7qYD56zaW,269,4,684,3,1612,1,2025-10-28T13:39:29Z,9.966666666666669,1.15,30000,car,30000,27000,original,280,0.02,0,100%,94%,85%,265,240,Original Battery
27994d272f0283653dde3fa578eba69d,zivBCxbnyx5LIlE7qYD56zaW,269,4,0,4,1612,0,2025-10-28T13:39:29Z,9.966666666666669,1.15,30000,car,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
27994d272f0283653dde3fa578eba69d,zivBCxbnyx5LIlE7qYD56zaW,269,5,2382,1,1613,0,2025-10-28T13:39:29Z,9.966666666666669,1.15,30000,car,40000,27000,packreplace,360,0.05,0,100%,86%,66%,310,240,Refurbished Pack-Replaced
27994d272f0283653dde3fa578eba69d,zivBCxbnyx5LIlE7qYD56zaW,269,5,2138,2,1613,0,2025-10-28T13:39:29Z,9.966666666666669,1.15,30000,car,20000,33000,original,280,0.05,0,100%,86%,66%,240,185,Original Battery
27994d272f0283653dde3fa578eba69d,zivBCxbnyx5LIlE7qYD56zaW,269,5,3114,3,1613,0,2025-10-28T13:39:29Z,9.966666666666669,1.15,30000,car,20000,27000,cellreplace,280,0.07,0,100%,80%,56%,225,155,Refurbished Cell-Replaced
27994d272f0283653dde3fa578eba69d,zivBCxbnyx5LIlE7qYD56zaW,269,5,0,4,1613,1,2025-10-28T13:39:29Z,9.966666666666669,1.15,30000,car,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
27994d272f0283653dde3fa578eba69d,zivBCxbnyx5LIlE7qYD56zaW,269,6,23,1,1614,1,2025-10-28T13:39:29Z,9.966666666666669,1.15,30000,car,45000,30000,original,200,0.01,0,100%,97%,92%,195,185,Original Battery
27994d272f0283653dde3fa578eba69d,zivBCxbnyx5LIlE7qYD56zaW,269,6,3145,2,1614,0,2025-10-28T13:39:29Z,9.966666666666669,1.15,30000,car,15000,27000,packreplace,280,0.07,0,100%,80%,56%,225,155,Refurbished Pack-Replaced
27994d272f0283653dde3fa578eba69d,zivBCxbnyx5LIlE7qYD56zaW,269,6,1794,3,1614,0,2025-10-28T13:39:29Z,9.966666666666669,1.15,30000,car,20000,24000,packreplace,320,0.04,0,100%,88%,72%,285,230,Refurbished Pack-Replaced
27994d272f0283653dde3fa578eba69d,zivBCxbnyx5LIlE7qYD56zaW,269,6,0,4,1614,0,2025-10-28T13:39:29Z,9.966666666666669,1.15,30000,car,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
49df56c4b21032780f6b4ca94c879a15,oCc04fcKf4YH9jm4UqpNFVCk,270,1,2337,1,1615,1,2025-10-28T15:37:18Z,13.466666666666669,1.95,25000,suv,15000,20000,cellreplace,360,0.05,0,100%,86%,66%,310,240,Refurbished Cell-Replaced
49df56c4b21032780f6b4ca94c879a15,oCc04fcKf4YH9jm4UqpNFVCk,270,1,3371,2,1615,0,2025-10-28T15:37:18Z,13.466666666666669,1.95,25000,suv,25000,22500,original,200,0.08,0,100%,78%,51%,155,105,Original Battery
49df56c4b21032780f6b4ca94c879a15,oCc04fcKf4YH9jm4UqpNFVCk,270,1,2743,3,1615,0,2025-10-28T15:37:18Z,13.466666666666669,1.95,25000,suv,45000,25000,cellreplace,320,0.06,0,100%,83%,61%,265,195,Refurbished Cell-Replaced
49df56c4b21032780f6b4ca94c879a15,oCc04fcKf4YH9jm4UqpNFVCk,270,1,0,4,1615,0,2025-10-28T15:37:18Z,13.466666666666669,1.95,25000,suv,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
49df56c4b21032780f6b4ca94c879a15,oCc04fcKf4YH9jm4UqpNFVCk,270,2,1568,1,1616,0,2025-10-28T15:37:18Z,13.466666666666669,1.95,25000,suv,50000,27500.000000000004,original,240,0.04,0,100%,88%,72%,210,175,Original Battery
