date,description,participant_id,study,reward,fee
2026-02-26,SCREENED OUT,696aea5267b2a30436851168,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,69531fbc0f52ed73797d29f0,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,697c9aebc34028a9e73ca7d9,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,6993a8f8d63073ac0203d4f5,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,APPROVED,698c0284abbbcb9d9ac2d5dc,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,APPROVED,699b781fa33614257de03b48,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,699505ffb207df6f3d4934d5,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,6994de516d0bfd8811558579,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,6944565ececff7a71b83d5f3,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,698f7da3c33fca2360651ba6,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,695f8acac537fadb9bca5d39,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,698604d19eb00e368b3a16df,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,APPROVED,65a2be1bc7d56a25c04b3e8a,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,APPROVED,699494db51df6e5829ee9400,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,APPROVED,697c898d2c4c8c3018e30a2c,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,699374feae260d3da54b4601,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,691ca4ac01b5375f04ea1277,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,6101f03f02ea2d695b6b6454,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,69615ee1dfd84900d713be90,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,APPROVED,696072c92e02a3b53d111e31,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,69921d5a39a1ef690708e216,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,69864b91db1f8e065b805468,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,69601458c87af7f9f9fe226c,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,6665f87627597e219632ea62,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,677080aa5bdd3e204575c1fe,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,69833675a22ee11c9846c218,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,698ce6b70a806edafd647795,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,698b47e0a785e079268c0615,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,65b1647425946d49b4173328,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,6997c8b7066152bb2b4d6eb2,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,698cb4ce3fce3dfb9760c1b8,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,697df9aa934d8b9de8f2afe9,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,APPROVED,699711d4f63c276e59d0274e,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,APPROVED,6942df6ba19af01555f47025,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,698fd709727861f0b5f227fd,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,6944a479933f2e3d24b0b445,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,65ce19f79d8488ef10b52a3e,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,6648b559cbdf7fb81cb8e03b,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,67bdc9bbc81eaad61891c7a7,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,699864966d848364640e9139,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,6996027674578d3680c6cf09,69972f6c3f130386dee62c91,0.14,0.05
